# Time-averaged data for fix msd_out
# TimeStep c_msd_co2[1] c_msd_co2[2] c_msd_co2[3] c_msd_co2[4]
47800 1.18525 0.68854 0.189269 2.06306
47900 1.13137 0.670913 0.168064 1.97035
48000 1.07631 0.689199 0.150929 1.91643
48100 1.10797 0.712231 0.161277 1.98148
48200 1.1634 0.751067 0.171411 2.08588
48300 1.20373 0.763634 0.173334 2.1407
48400 1.28474 0.721599 0.187577 2.19391
48500 1.39631 0.730458 0.206511 2.33328
48600 1.39311 0.779102 0.200899 2.37311
48700 1.37942 0.798669 0.183518 2.3616
48800 1.42153 0.824316 0.187434 2.43328
48900 1.44311 0.841245 0.200796 2.48515
49000 1.40741 0.794681 0.174726 2.37681
49100 1.39149 0.785427 0.166323 2.34324
49200 1.36583 0.774007 0.213627 2.35346
49300 1.30748 0.784264 0.227761 2.3195
49400 1.28573 0.772652 0.209661 2.26804
49500 1.27055 0.76075 0.224884 2.25618
49600 1.2348 0.75205 0.230158 2.217
49700 1.20655 0.756085 0.225301 2.18794
49800 1.20471 0.695358 0.250114 2.15018
49900 1.19324 0.692827 0.260127 2.1462
50000 1.16653 0.71913 0.237148 2.12281
50100 1.14896 0.759317 0.233844 2.14212
50200 1.18041 0.780014 0.231714 2.19214
50300 1.20998 0.790605 0.233474 2.23406
50400 1.23033 0.739707 0.251068 2.22111
50500 1.25397 0.748484 0.265009 2.26747
50600 1.25929 0.779343 0.245941 2.28457
50700 1.23607 0.817673 0.252974 2.30672
50800 1.22952 0.816419 0.251889 2.29782
50900 1.25281 0.798438 0.252624 2.30387
51000 1.25774 0.725597 0.268078 2.25142
51100 1.21397 0.710834 0.27316 2.19796
51200 1.15811 0.748285 0.23348 2.13987
51300 1.17661 0.767023 0.214916 2.15855
51400 1.22587 0.770157 0.185356 2.18138
51500 1.26375 0.776226 0.176492 2.21647
51600 1.27585 0.743268 0.211312 2.23043
51700 1.29772 0.743998 0.235508 2.27723
51800 1.28547 0.776465 0.22149 2.28343
51900 1.28226 0.80595 0.238408 2.32662
52000 1.33857 0.824591 0.242955 2.40611
52100 1.37587 0.817815 0.225928 2.41962
52200 1.41148 0.772806 0.228412 2.41269
52300 1.45346 0.765841 0.234213 2.45351
52400 1.46287 0.774908 0.222876 2.46065
52500 1.44698 0.823896 0.212537 2.48341
52600 1.44692 0.840629 0.207545 2.4951
52700 1.43908 0.858016 0.194244 2.49134
52800 1.43364 0.801967 0.221296 2.4569
52900 1.46556 0.76094 0.239402 2.4659
53000 1.44831 0.758995 0.222795 2.4301
53100 1.36523 0.788181 0.240732 2.39414
53200 1.31758 0.787059 0.247276 2.35192
53300 1.29631 0.790131 0.207111 2.29355
53400 1.29097 0.741758 0.206196 2.23893
53500 1.27837 0.722916 0.236715 2.238
53600 1.28672 0.743567 0.205427 2.23571
53700 1.27994 0.765866 0.190104 2.23591
53800 1.25129 0.77081 0.220883 2.24298
53900 1.25512 0.798305 0.234466 2.28789
54000 1.27033 0.78135 0.202244 2.25392
54100 1.2805 0.749191 0.202228 2.23191
54200 1.3158 0.758716 0.235608 2.31013
54300 1.3466 0.831545 0.255602 2.43375
54400 1.35347 0.866037 0.245475 2.46498
54500 1.36193 0.882843 0.240662 2.48544
54600 1.41881 0.903145 0.250291 2.57225
54700 1.46642 0.888349 0.249286 2.60406
54800 1.48643 0.88935 0.223991 2.59978
54900 1.47344 0.951997 0.212477 2.63791
55000 1.46967 0.995192 0.216482 2.68134
55100 1.46525 0.987266 0.221216 2.67373
55200 1.47616 0.991221 0.216574 2.68395
55300 1.47708 0.995803 0.227259 2.70014
55400 1.4591 0.968106 0.26924 2.69645
55500 1.43594 0.954287 0.302628 2.69286
55600 1.4264 0.968298 0.300798 2.6955
55700 1.39141 0.991381 0.273416 2.65621
55800 1.37836 0.998904 0.265802 2.64306
55900 1.34667 0.97257 0.244212 2.56345
56000 1.34556 0.929425 0.221246 2.49623
56100 1.34211 0.893897 0.235378 2.47139
56200 1.32205 0.876461 0.260067 2.45857
56300 1.29408 0.867695 0.248782 2.41056
56400 1.29149 0.854076 0.252876 2.39845
56500 1.3038 0.820671 0.279145 2.40362
56600 1.37564 0.820488 0.273678 2.4698
56700 1.43878 0.856053 0.262757 2.55759
56800 1.47132 0.886808 0.267502 2.62563
56900 1.51066 0.920857 0.263182 2.6947
57000 1.59376 0.976566 0.241228 2.81156
57100 1.63973 0.941873 0.228366 2.80997
57200 1.68968 0.911677 0.236923 2.83828
57300 1.70271 0.938439 0.263607 2.90475
57400 1.59704 0.959395 0.263976 2.82041
57500 1.4763 0.92012 0.241415 2.63784
57600 1.45895 0.896181 0.24917 2.6043
57700 1.41077 0.850522 0.270339 2.53163
57800 1.33588 0.824633 0.238628 2.39914
57900 1.31356 0.836673 0.216761 2.36699
58000 1.34724 0.816047 0.256653 2.41994
58100 1.3239 0.823104 0.281837 2.42884
58200 1.31926 0.883345 0.229878 2.43248
58300 1.34083 0.873912 0.224155 2.4389
58400 1.38407 0.840296 0.251619 2.47598
58500 1.41033 0.864445 0.236334 2.51111
58600 1.45621 0.894777 0.222281 2.57327
58700 1.45148 0.933869 0.236475 2.62183
58800 1.47275 0.944777 0.243178 2.66071
58900 1.45211 0.90716 0.229951 2.58922
59000 1.46245 0.885276 0.237972 2.5857
59100 1.42531 0.894459 0.262786 2.58255
59200 1.43644 0.886908 0.281094 2.60444
59300 1.46283 0.903801 0.275017 2.64165
59400 1.48293 0.902638 0.268982 2.65455
